Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MRPS17,1899.818038,-0.569542566,0.104774031,-5.435913474,5.45E-08,1.33E-06
GSTO1,3173.407859,-0.567983892,0.096283267,-5.899092458,3.66E-09,1.12E-07
DPY30,3537.764401,-0.566278707,0.101272975,-5.591607295,2.25E-08,5.98E-07
TMEM123,1885.91449,-0.561352761,0.106333286,-5.279181925,1.30E-07,2.98E-06
UCHL1,7739.507777,-0.552094784,0.070710343,-7.807836343,5.82E-15,4.34E-13
VTI1B,3466.371981,-0.551959486,0.100642762,-5.484343607,4.15E-08,1.06E-06
DPM1,4334.270266,-0.548904053,0.089080307,-6.161901244,7.19E-10,2.50E-08
PSMA7,25257.37804,-0.539269318,0.085223386,-6.327715223,2.49E-10,9.47E-09
PABPC1,63993.17617,-0.538734488,0.086595091,-6.221305167,4.93E-10,1.75E-08
POMP,24999.29507,-0.536313842,0.094492462,-5.675731486,1.38E-08,3.78E-07
ABRACL,4518.892178,-0.535335221,0.091968982,-5.820823632,5.86E-09,1.71E-07
BCAS2,3382.222124,-0.523714278,0.083857019,-6.245324291,4.23E-10,1.52E-08
ACTB,12907.13929,-0.522571186,0.091296711,-5.723877425,1.04E-08,2.95E-07
SYAP1,3308.562062,-0.522379291,0.102251617,-5.108763107,3.24E-07,6.77E-06
SFT2D1,1931.704185,-0.515789417,0.096931179,-5.321192048,1.03E-07,2.40E-06
CACYBP,5273.847854,-0.511256441,0.099194376,-5.154086968,2.55E-07,5.50E-06
CSTB,25737.757,-0.510868457,0.071829861,-7.112201681,1.14E-12,6.41E-11
MRPS35,3157.680627,-0.510425974,0.092905194,-5.494052063,3.93E-08,1.00E-06
NDUFA12,12462.98294,-0.508440454,0.080426939,-6.32176805,2.59E-10,9.76E-09
ENSG00000227615,7966.015818,-0.506015425,0.093147753,-5.432395392,5.56E-08,1.36E-06
EBNA1BP2,5580.6973,-0.505867675,0.092755474,-5.453777059,4.93E-08,1.23E-06
TBCA,15686.19829,-0.504993816,0.100185135,-5.04060623,4.64E-07,9.39E-06
